capture,ut,type,ts_open_utc,prix,champ,note
lot-1/ex1.png,1,exact,2026-08-24T10:48:00Z,159.174,open,en-tête O de la bougie en cours
lot-1/ex1.png,1,borne,2026-08-24T10:48:00Z,159.186,high,en-tête H de la bougie en cours (plus haut final >= ce prix)
lot-1/ex1.png,1,borne,2026-08-24T10:48:00Z,159.174,low,en-tête L de la bougie en cours (plus bas final <= ce prix)
lot-1/ex1.png,1,exact,2026-08-24T08:30:00Z,159.283,high,étiquette High de l'échelle (extrême visible); heure lue sur l'axe du temps à ±2 min
lot-1/ex2.png,1,exact,2026-08-24T11:34:00Z,159.190,open,en-tête O de la bougie en cours
lot-1/ex2.png,1,borne,2026-08-24T11:34:00Z,159.199,high,en-tête H de la bougie en cours (plus haut final >= ce prix)
lot-1/ex2.png,1,borne,2026-08-24T11:34:00Z,159.190,low,en-tête L de la bougie en cours (plus bas final <= ce prix)
lot-1/ex3.png,3,exact,2026-08-25T12:15:00Z,159.246,open,en-tête O de la bougie en cours
lot-1/ex3.png,3,borne,2026-08-25T12:15:00Z,159.255,high,en-tête H de la bougie en cours (plus haut final >= ce prix)
lot-1/ex3.png,3,borne,2026-08-25T12:15:00Z,159.240,low,en-tête L de la bougie en cours (plus bas final <= ce prix)
lot-1/ex3.png,3,exact,2026-08-25T08:21:00Z,159.493,high,étiquette High de l'échelle (extrême visible); heure lue sur l'axe du temps à ±1 bougie; autre sommet presque égal vers 08:06
lot-1/ex3.png,3,exact,2026-08-25T01:27:00Z,159.146,low,étiquette Low de l'échelle (extrême visible); heure lue sur l'axe du temps à ±1 bougie; bougie près du bord gauche
lot-1/ex4.png,1,exact,2026-08-25T13:11:00Z,159.206,open,en-tête O de la bougie en cours
lot-1/ex4.png,1,borne,2026-08-25T13:11:00Z,159.221,high,en-tête H de la bougie en cours (plus haut final >= ce prix)
lot-1/ex4.png,1,borne,2026-08-25T13:11:00Z,159.180,low,en-tête L de la bougie en cours (plus bas final <= ce prix)
lot-1/ex4.png,1,exact,2026-08-25T08:21:00Z,159.493,high,étiquette High de l'échelle (extrême visible); heure lue sur l'axe du temps à ±2 min; autre sommet presque égal vers 08:10
lot-1/ex5.png,5,exact,2026-08-26T13:30:00Z,159.280,open,en-tête O de la bougie en cours
lot-1/ex5.png,5,borne,2026-08-26T13:30:00Z,159.316,high,en-tête H de la bougie en cours (plus haut final >= ce prix)
lot-1/ex5.png,5,borne,2026-08-26T13:30:00Z,159.262,low,en-tête L de la bougie en cours (plus bas final <= ce prix)
lot-1/ex5.png,5,exact,2026-08-26T13:10:00Z,159.327,high,étiquette High de l'échelle (extrême visible); heure lue sur l'axe du temps à ±1 bougie
lot-1/ex5.png,5,exact,2026-08-26T02:00:00Z,158.881,low,étiquette Low de l'échelle (extrême visible); heure lue sur l'axe du temps à ±1 bougie; plus bas de Tokyo
lot-2/ex6.png,5,exact,2026-09-04T10:15:00Z,156.388,open,en-tête O de la bougie en cours; bougie tout juste ouverte (O=H=L=C)
